b,m1,m2,cost
0.0,0.0,0.0,65279190347.902176
0.0033911945652173913,7.6253129184782615,0.011186430869565217,59599100463.15513
0.006630001835829624,14.897950005858231,0.021863345319069687,54432276065.06386
0.009723469826010703,21.834222754990726,0.03205430882331532,49732337348.85156
0.01267832057456951,28.449688241282665,0.04178179693814768,45457095491.498634
0.015500965221528263,34.75918401500795,0.051067245709936024,41568173945.36
0.01819751838739915,40.7768613798257,0.059931099753581185,38030663952.52915
0.020773811887409798,46.516217132144675,0.06839285810688348,34812811187.68622
0.02323540781143666,51.990123832521036,0.07647111796411545,31885730716.591522
0.025587610998982754,57.21085867698359,0.08418361638688765,29223147711.56002
0.02783548093717931,62.190131033041034,0.09154727008585903,26801161596.45932
0.02998384310849693,66.93910870213044,0.09857821336251657,24598031504.08713
0.0320372998136175,71.46844296740996,0.10529183429612236,22593981120.0949
0.03400024049374105,75.78829248307433,0.11170280925699008,20771021161.646072
0.035876851575479034,79.90834605877366,0.11782513582349949,19112787897.29563
0.0376711258604147,83.83784439023755,0.12367216417667688,17604396258.570343
0.039386871480390016,87.58560078484334,0.12925662704275537,16232306224.711731
0.04102772043860464,91.16002092861302,0.13459066825087157,14984201281.189142
0.04259713675568329,94.56912173897328,0.13968586996994992,13848877860.970478
0.04409842423898206,97.8205493455628,0.14455327868586268,12816144776.124212
0.045534733892559215,100.92159623941522,0.14920342997712918,11876731737.00444
0.04690907098442976,103.87921762898098,0.15364637214472218,11022206137.844578
0.04822430178695485,106.70004703967209,0.15789168874898007,10244897361.789024
0.049483160005483674,109.39041119191765,0.1619485201041717,9537827925.889544
0.050688252909666304,111.95634419109935,0.16582558377892337,8894650847.99209
0.05184206718118929,114.40360106119287,0.16953119414848716,8309592673.290324
0.052946974491049556,116.73767065246948,0.17307328104270397,7777401649.12575
0.054005236818875625,118.96378795220762,0.1764594075314858,7293300582.827581
0.05501901152622673,121.08694582602608,0.17969678688770746,6852943959.422471
0.05599035619524839,123.11190621617244,0.18279229876555325,6452378934.282833
0.05692123324353702,125.04321082188336,0.18575250463060441,6088009850.565793
0.057813514325563864,126.88519128577099,0.1885836624762746,5756565962.9348
0.058668984530530224,128.64197890908218,0.1912917408596004,5455072077.837168
0.059489346386069016,130.31751391762054,0.19388243228786722,5180821846.791128
0.06027622367677248,131.91555429911335,0.19636116598609468,4931353472.950467
0.06103116508611044,133.4396842318444,0.1987331200740174,4704427612.87777
0.06175564766990737,134.8933221234568,0.20100323317987212,4498007275.16232
0.06245108016916889,136.27972827795602,0.20317621551703965,4310239535.443329
0.06311880616968779,137.60201220810862,0.20525655944838447,4139438903.70414
0.06376010711551611,138.86313960963793,0.20724854956198674,3984072194.534491
0.0643762051830622,140.06593901285834,0.2091562722808649,3842744764.5493793
0.06496826602225889,141.21310812666718,0.21098362502824214,3714187993.425181
0.06553740137095068,142.3072198891226,0.21273432496891334,3597247896.1770563
0.06608467154836391,143.35072823817828,0.21441191734631773,3490874764.456129
0.06661108783325215,144.34597361551783,0.21601978343401648,3394113743.882024
0.0671176147320509,145.29518821583306,0.2175611481194092,3306096262.8284025
0.06760517214212851,146.2005009933197,0.21903908713669826,3226032235.7224784
0.06807463741498535,147.06394243661933,0.220456533965324,3153202970.8715816
0.06852684732402864,147.88744912291708,0.22181628640934245,3086954719.154214
0.0689625999413364,148.67286806140916,0.22312101287250252,3026692805.665671
0.06938265642761972,149.42196083588235,0.22437325834309665,2971876291.6411214
0.06978774273939822,150.1364075556961,0.22557545010200816,2922013118.7391467
0.07017855125721738,150.8178106240294,0.2267299031667576,2876655692.0985494
0.07055574233855977,151.46769833184337,0.22783882548375822,2835396862.5199175
0.07091994579893317,152.087528285621,0.22890432288042636,2797866271.706164
0.07127176232445726,152.67869067657145,0.22992840378825316,2763727027.7552004
0.07161176481911728,153.2425113986315,0.23091298374743122,2732672681.062449
0.07194049968970637,153.78025502225742,0.23185988970313928,2704424473.487514
0.07225848807133833,154.29312763067682,0.23277086410312078,2678728836.092202
0.07256622699627975,154.78227952496215,0.23364756880574666,2655355112.988503
0.07286419050872275,155.24880780399258,0.23449158880732776,2634093490.864685
0.0731528307279988,155.69375882509104,0.23530443579703644,2614753115.6039925
0.0734325788626182,156.11813055085508,0.23608755154741065,2597160379.089856
0.07370384617740947,156.5228747874453,0.23684231114804513,2581157360.8191557
0.07396702491592802,156.90889931935126,0.23757002608972194,2566600410.3347764
0.07422248918020274,157.27706994542342,0.23827194720589814,2553358857.7526755
0.07447059576979369,157.6282124207368,0.2389492674781476,2541313840.80859
0.07471168498204282,157.96311430864236,0.2396031247118492,2530357237.895397
0.0749460813753127,158.28252674715995,0.24023460408812275,2520390697.513565
0.07517409449692468,158.58716613367397,0.2408447405977362,2511324755.422629
0.07539601957742971,158.87771573171116,0.24143452136244278,2503078031.568793
0.07561213819276846,159.15482720340353,0.24200488784895513,2495576499.5799503
0.07582271889580619,159.41912207107407,0.24255673798052127,2488752822.2707295
0.07602801781865869,159.671193111223,0.24309092815083902,2482545747.192786
0.07622827924716025,159.91160568404132,0.2436082751448254,2476899556.804507
0.07642373616876208,160.14089900143338,0.24410955797054923,2471763568.324592
0.0766146107950901,160.3595873363927,0.24459551960643566,2467091678.779976
0.07680111506033405,160.5681611764432,0.24506686866766114,2462841951.164223
0.07698345109658575,160.76708832373302,0.24552428099547674,2458976237.9915743
0.07716181168719273,160.95681494424838,0.24596840117302404,2455459838.867463
0.07733638069914386,161.13776656850052,0.24639984397104364,2452261189.0017414
0.07750733349545694,161.3103490459302,0.24681919572671854,2449351575.8685236
0.07767483732849298,161.4749494551703,0.24722701565874527,2446704881.4692774
0.07783905171507957,161.6319369722083,0.24762383712158195,2444297347.8855944
0.0780001287942844,161.78166369839562,0.24801016880168664,2442107364.01713
0.07815821366864165,161.92446545016082,0.24838649585842876,2440115271.5903707
0.0783134447295963,162.06066251219832,0.24875328101223274,2438303188.6968856
0.07846595396789655,162.19056035582133,0.24911096558239415,2436654849.2770467
0.07861586726963028,162.31445032409076,0.2494599704768963,2435155457.1083555
0.07876330469856972,162.43261028525623,0.24980069713644695,2433791552.98771
0.07890838076545736,162.54530525597517,0.2501335284348529,2432550893.9153743
0.07905120468483738,162.6527879957075,0.25045882953775167,2431422343.196149
0.07919188062000827,162.75529957361928,0.2507769487216258,2430395770.471252
0.07933050791664638,162.85306990926645,0.251088218154938,2429461960.783527
0.07946718132562415,162.94631828827193,0.25139295464313743,2428612531.859734
0.07960199121552285,163.03525385415202,0.2516914603392097,2427839858.8673844
0.07973502377531648,163.12007607739565,0.25198402342136283,2427137005.970719
0.07986636120768141,163.20097520284835,0.25227091873937024,2426497664.071442
0.07999608191336528,163.27813267640443,0.2525524084310196,2425916094.1753354
0.08012426066702878,163.3517215519643,0.25282874251005083,2425387075.8763943
